name,department,school,rating,take_again,difficulty,avg_gpa,Clear grading criteria,Respected,Get ready to read,Skip class? You won't pass.,Tough grader,Accessible outside class,Graded by few things,Lecture heavy,Test heavy,Inspirational,Amazing lectures,Caring,Gives good feedback,Participation matters,Hilarious,Lots of homework
"SCHUMANN, T.",Criminal Justice,UC Irvine,4.6,100,4.0,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MINOT, R.",Business,UC Irvine,3.2,N/,2.9,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAARI, D.",Economics,UC Irvine,3.9,34,3.7,3.2525,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"SCHWAB, M.",Philosophy,UC Irvine,3.6,N/,3.0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PONTELL, H.",Criminal Justice,UC Irvine,3.8,60,2.6,3.1062162162162164,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARTIER, M.",Film,UC Irvine,2.7,0,2.6,3.691739130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RANGEL, R.",Engineering,UC Irvine,4.0,82,3.9,3.264615384615385,0,6,0,0,0,0,0,0,0,0,3,0,0,4,0,0
"JOLLEY, S.",Philosophy,UC Irvine,3.7,N/,3.0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SU, Y.",Sociology,UC Irvine,3.2,N/,2.1,3.2338461538461534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PANTELIA, M.",Classics,UC Irvine,4.1,N/,1.9,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOBSA, A.",Computer Science,UC Irvine,4.5,100,2.4,3.281999999999999,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"GREEN, M.",Engineering,UC Irvine,4.7,100,4.2,3.086470588235294,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"MALLY, L.",History,UC Irvine,4.6,N/,2.6,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOWICK, J.",Chemistry,UC Irvine,4.0,100,3.8,3.4000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOWICK, J.",Chemistry,UC Irvine,2.0,N/,4.0,3.4000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MILLER, F.",Public Health,UC Irvine,2.3,N/,2.8,3.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MILLER, F.",Public Health,UC Irvine,1.0,N/,4.0,3.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAN, T.",Languages,UC Irvine,3.9,60,2.8,3.421641791044776,0,6,0,0,0,0,4,0,0,3,0,4,0,0,4,0
"BOGART, D.",Economics,UC Irvine,3.8,0,3.3,3.068888888888889,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
