instructor,avg_gpa
"WANG, S.",2.7016666666666667
"CHAN, S.",3.1916666666666664
"NGUYEN, H.",3.643333333333333
"VENUGOPALAN, V.",3.0149999999999997
"RYCHNOVSKY, S.",2.96375
"BOROVIK, A.",2.924166666666667
"MARTIN, R.",3.5244444444444447
"TOBIAS, D.",3.4271428571428566
"GUAN, Z.",2.730666666666666
"WEISS, G.",2.6261538461538456
"DONG, V.",3.0308333333333333
"JARVO, E.",2.872222222222222
"LAW, M.",3.0826923076923074
"MURRAY, C.",2.588333333333333
"SHEA, K.",2.785
"MILLER, G.",3.364
"GONZALEZ, G.",3.0833333333333335
"MORALES, A.",3.5388000000000006
"CASTELLANOS, J.",3.357058823529412
"HSIEH, R.",3.498367346938775
"PETERSEN, Y.",3.538148148148148
"FULLER, M.",3.392352941176471
"HU, Y.",3.2664000000000004
"VRUGT, J.",2.5042857142857144
"OLSON, B.",2.9299999999999997
"RITCHIE, S.",3.058
"ABO-SHADI, N.",3.475
"ALTOONTASH, A.",2.12
"JIANG, C.",3.0954545454545452
"SANDERS, B.",2.7011111111111115
"DETWILER, R.",2.788125
"SOROOSHIAN, S.",3.153333333333333
"PALMER, M.",3.5237499999999997
"PANTELIA, M.",3.38
"JARRATT, S.",3.456666666666667
"HOFFMAN, D.",2.816470588235294
"WRIGHT, C.",3.0392
"CHARLES, S.",3.325
"IVERSON, G.",2.77
"PEARL, L.",3.5516666666666663
"SABERI, K.",3.6335714285714285
"LEWIS, J.",3.5733636363636365
"RICHARDS, V.",3.1420000000000003
"TRUEBLOOD, J.",2.645
"LEE, M.",3.270416666666667
"MANN, V.",3.903225806451613
"SCHUCK, S.",3.804
"SARNECKA, B.",3.7244000000000006
"AMIRAN, E.",3.4393333333333334
"RAHIMIEH, N.",3.4443817787418656
"THIONG'O, N.",2.8866666666666667
"TERADA, R.",3.6658823529411766
"SCHLICHTER, A.",3.5787500000000003
"FROST, D.",3.424285714285714
"HAYES, W.",3.258181818181818
"SHEU, C.",3.099310344827586
"WANG, R.",2.928809523809524
"KLEFSTAD, R.",3.1320987654320986
"KALASHNIKOV, D.",3.1
"DUTT, N.",3.2960000000000003
"EPPSTEIN, D.",2.993125
"LATHROP, R.",3.635294117647059
"MOHAMMADI, YAGHINI.",3.1464000000000003
"THORNTON, A.",2.774
"LEE, H.",3.3598089171974523
"HEALEY, G.",2.6933333333333334
"CHOU, P.",3.8415
"REITER, K.",3.480666666666666
"SYKES, B.",3.198571428571428
"SCHUELE, D.",3.0233333333333334
"CURRIE, E.",3.6584375
"SUGIE, N.",3.225
"MAXSON, C.",2.638333333333333
"HUFF, C.",2.6799999999999997
"DOMBRINK, J.",3.7464864864864866
"TITA, G.",3.535555555555556
"SCURICH, N.",2.7114285714285717
"COLE, S.",3.026470588235294
"SHARP, K.",3.736785714285714
"ANDO, A.",3.13
"WRAY, S.",3.8190909090909093
"BOYLE, S.",3.5992307692307692
"FISHER, J.",3.7094444444444443
"DIEFENDERFER, D.",3.648333333333334
"MARSHALL, S.",3.78
"ALVAREZ, K.",3.835
"KING, M.",3.84
"WONG, D.",3.9560000000000004
"BUCHMEIER, M.",3.4855555555555555
"EARTHMAN, J.",3.200434782608695
"DURBIN, H.",3.7725
"AGRAWAL, A.",4.0
"OLIVIERI, V.",3.5436842105263158
"MILANI, F.",3.433478260869566
"WARSCHAUER, M.",3.7199999999999998
"EICHHORN, S.",3.31
"JENNESS, V.",3.2835294117647056
"KUBIAK, A.",3.7922000000000002
"DRUFFEL, E.",3.3957142857142864
"BERKELHAMER, R.",3.695
"VEENSTRA, J.",3.789428571428571
"BASSHAM, C.",3.4448965517241383
"LOUI, A.",3.456538461538462
"THOMPSON, P.",3.5826923076923074
"LEI, D.",3.550776699029127
"YAJI, S.",3.14
"FAULKNER, C.",3.17
"LAWRENCE, K.",3.7199999999999998
"CASTELLANO, D.",3.3159374999999995
"ALCARAZ, L.",3.9048484848484852
"KATRAK, K.",3.6959999999999993
"FOWLER, K.",3.701428571428571
"DELANEY, M.",3.8736263736263736
"BUSBY, D.",3.862727272727273
"PALERMO, A.",3.8038461538461528
"FERGUSON, J.",3.1481632653061222
"GREEN, C.",3.206666666666667
"PRIMEAU, F.",2.875
"KIM, S.",3.350625
"GOULDEN, M.",3.3913333333333333
"RIGNOT, E.",3.4528571428571424
"ZENDER, C.",3.086
"PRATHER, M.",3.3214285714285716
"FELLOWS, A.",3.3
"PRITCHARD, M.",2.8141666666666665
"RANDERSON, J.",3.3733333333333335
"MOORE, J.",3.1075
"MARTINY, A.",3.3042857142857147
"PRATT, J.",3.6412
"SUH, S.",3.3230769230769233
"HUANG, M.",3.1948148148148157
"SWAIN, J.",3.348333333333334
"SCRUGGS, B.",3.2765384615384616
"JOHNSON, K.",3.05125
"GLAZER, A.",3.367142857142858
"JENNINGS, L.",3.281428571428571
"ROCHETEAU, G.",2.9333333333333336
"CHEN, J.",3.4009090909090913
"POIRIER, D.",3.025
"JELIAZKOV, I.",3.2506250000000003
"BRUECKNER, J.",2.972857142857143
"SHAH, N.",3.0823333333333336
"GARFINKEL, M.",2.911578947368421
"HANSEN, L.",3.8433333333333333
"SANTAGATA, R.",3.5233333333333325
"BROUILLETTE, L.",3.842857142857143
"GREEBAN, E.",3.782040816326531
"REICH, S.",3.1131249999999997
"HANSEN, J.",3.244137931034483
"STOUT, D.",2.6
"HENRY, V.",3.435
"PHUNTSOG, N.",3.5875000000000004
"GUILFOYLE, S.",3.665
"CHANDRASEKHAR, V.",3.871052631578947
"BURGE, K.",3.969
"STONE, J.",3.55875
"HOUSTON, K.",3.6180952380952385
"SANDHOLTZ, J.",3.356666666666667
"LAWRENCE, J.",3.035
"LAO, J.",3.286923076923077
"JAEGGI, S.",3.692424242424243
"CONLEY, A.",3.8841666666666668
"CONCHAS, G.",3.768
"KAVIANPOUR, A.",3.0896551724137926
"BARR, J.",3.34
"CHAUDHRY, M.",3.2554901960784313
"BACHMAN, M.",3.61
"TAMMA, V.",3.41
"GORODETSKY, A.",2.9124999999999996
"WU, L.",3.8506060606060606
"VALDEVIT, L.",2.75
"ALLEN, E.",3.146666666666667
"GODDEN, R.",3.4110526315789467
"DAVIS, S.",3.3644444444444446
"SILVER, V.",3.163157894736842
"TUCKER, I.",3.2621052631578946
"RADHAKRISHNAN, R.",3.617777777777778
"HENDERSON, A.",3.5008
"O'CONNOR, L.",3.364074074074074
"CHRISTENSEN, J.",3.21125
"KEIZER, A.",3.481428571428571
"SMITH, J.",3.605128205128205
"LIM, F.",3.2927586206896544
"RONY, F.",3.7360000000000007
"KRAPP, P.",3.121363636363637
"HATCH, K.",3.2361538461538464
"CANE, E.",3.8368085106382988
"HILDERBRAND, L.",3.067619047619048
"CHO, J.",3.7411538461538467
"LIU, C.",3.1270370370370375
"ABBAS, M.",3.3918749999999998
"EVERS, K.",3.6622222222222223
"SODERMAN, A.",3.3945454545454536
"MOINZADEH, I.",3.382631578947369
"HEBERLE, O.",3.4776470588235293
"MORISI, E.",2.9025
"MARCULESCU, A.",3.6150000000000007
"FARBMAN, H.",3.4770588235294118
"TERRY, J.",3.404166666666667
"KAUFEL, F.",3.6483333333333334
"BROADBENT, P.",3.4818181818181824
"CLAXTON, C.",3.3354166666666667
"MOELLER, R.",3.4514285714285715
"DARYAEE, T.",3.4207142857142854
"CASAVANTES, BRADFOR.",3.226428571428571
"MCKENNA, J.",3.389777777777778
"RAPHAEL, R.",3.3818181818181823
"IGLER, D.",3.5684615384615386
"WASSERSTROM, J.",3.5460000000000007
"GUO, Q.",2.9252631578947366
"LE VINE, M.",3.812608695652173
"CHRISTIAN, J.",3.058
"SEED, P.",3.9304166666666664
"KONGSHAUG, E.",3.486521739130435
"LEHMANN, M.",3.228
"WIENER, J.",2.95
"JAMES, W.",3.5460869565217394
"TINSMAN, H.",3.525
"RAGSDALE, K.",3.37
"BURKE, C.",3.2215803814713895
"CHATURVEDI, V.",3.2728571428571427
"NAVARRO, E.",3.6097560975609757
"JONES, J.",3.659090909090909
"VAN DER HOEK, A.",3.3225
"DOURISH, J.",3.6233333333333335
"CHEN, Y.",3.3920833333333333
"GREGORY, J.",3.474
"PATTIS, R.",3.0949999999999998
"RAMANAN, D.",3.29
"HARDT, H.",3.137391304347826
"KAMINSKI, M.",3.3497142857142856
"ROBERTS, T.",2.721666666666667
"SCHLOSSER, S.",3.3138709677419356
"LYNCH, C.",3.5399999999999996
"HAMBER, F.",3.193888888888889
"CHIAMPI, J.",3.3490909090909096
"NAGAI, A.",2.998857142857143
"RIGGS, H.",3.16089552238806
"KLEIN, S.",3.49125
"CHOE, H.",3.286545454545455
"GRIFFITH, T.",2.8779999999999997
"TRANEL, B.",2.985
"SIEGEL, B.",3.5497826086956525
"DEPAUL, A.",3.2267307692307687
"CORWIN, M.",3.39375
"HAYASAKI, E.",3.4454838709677413
"WILENTZ, A.",3.6245833333333333
"STANFORD, P.",3.19125
"MOORE, K.",3.8681818181818186
"SHEPPARD, V.",3.314
"SHIVENDU, S.",3.53
"HUANG, C.",3.373333333333333
