course_name,avg_gpa
PUBHLTH 170,3.6159999999999997
PUBHLTH 176,3.29
PUBHLTH 195W,3.69275
SOCECOL E8,3.6160869565217384
SOCECOL 10,3.3791489361702127
SOCECOL 13,3.2329545454545454
SOCECOL 194W,3.189189189189189
SOC SCI 1A,3.3339999999999996
SOC SCI 3A,3.236190476190476
SOC SCI 10B,2.905
SOC SCI 10C,2.5987804878048784
SOC SCI 11A,3.34
SOC SCI 89,3.5
SOC SCI 120,3.61695652173913
SOC SCI 164B,3.7193333333333327
SOC SCI 164C,3.530625
SOC SCI 164D,3.7758823529411765
SOC SCI 184GW,2.9770731707317073
SOC SCI 189,3.691306818181818
SOCIOL 1,3.383166666666667
SOCIOL 2,3.2648275862068963
SOCIOL 3,3.317906976744186
SOCIOL 62,3.0385714285714287
SOCIOL 63,3.0534999999999997
SOCIOL 110,2.988235294117647
SOCIOL 120,3.0970370370370377
SOCIOL 135,2.911666666666667
SOCIOL 141,3.1950000000000003
SOCIOL 142,2.9774999999999996
SOCIOL 161W,3.2566666666666664
SOCIOL 173,3.41125
SOCIOL 180A,3.2321428571428568
SPANISH S1AB,3.5238888888888886
SPANISH S1BC,3.3805000000000005
SPANISH S2AB,3.4944444444444445
SPANISH S2BC,3.4155555555555552
SPANISH 113A,2.888888888888889
STATS 7,2.7340243902439028
STATS 8,3.041891891891892
STATS 67,3.190421052631579
STATS 120A,3.1705555555555556
WOMN ST 50A,3.61
WOMN ST 50B,2.88
WOMN ST 50C,3.45
WRITING 30,3.6342857142857143
WRITING 39A,2.8829419354838706
WRITING 39B,3.20228102189781
WRITING 39C,3.250752802989856
WRITING 139W,3.167260273972603
AC ENG 22A,3.487765957446808
AC ENG 139W,3.180138888888889
AFAM 40A,3.439230769230769
AFAM 112B,3.813333333333333
AFAM 128,3.597142857142857
AFAM 154,3.545
AFAM 198,3.9161111111111118
ANTHRO 10A,3.012666666666666
ANTHRO 20A,2.82125
ANTHRO 30A,3.5990909090909087
ANTHRO 85A,2.55
ANTHRO 134G,3.0
ANTHRO 136G,3.5649999999999995
ANTHRO 149,3.2357142857142853
ANTHRO 162B,2.9579999999999997
ANTHRO 164P,3.21
ANTHRO 180AW,3.6247999999999996
ARABIC 1A,3.54
ARABIC 2A,3.67
ART 1A,3.4155555555555552
ART 9A,3.718888888888889
ART 65A,3.6420833333333333
ART 81A,3.9417391304347826
ART 106A,3.7714285714285714
ART 109,3.8872727272727277
ART 126,3.5700000000000003
ART 127B,3.64375
ART 151,3.7686666666666673
ART 152D,3.77
ART 154,3.875454545454545
ART 189,3.6283333333333334
ART HIS 40A,3.0155555555555553
ART HIS 42A,3.2099999999999995
ART HIS 103,3.1325000000000003
ART HIS 123,3.67
ART HIS 140B,3.55
ARTS 173,3.98
ASIANAM 51,3.492857142857143
ASIANAM 54,3.6253846153846156
ASIANAM 131,3.38
ASIANAM 151E,3.2800000000000002
ASIANAM 151H,3.3200000000000003
BIO SCI 2A,3.87
BIO SCI 3B,3.02
BIO SCI 45,2.8084210526315787
BIO SCI 55,2.902727272727273
BIO SCI H90,3.78
BIO SCI E106L,3.6983333333333337
BIO SCI N112A,3.85
BIO SCI M114L,3.3585507246376807
BIO SCI M121,2.8357142857142854
BIO SCI E124,2.8825
BIO SCI M124A,3.0324999999999998
BIO SCI M126,3.436
BIO SCI D130,3.29
BIO SCI D137,2.9457142857142853
BIO SCI D138,3.145
BIO SCI D140,3.72
BIO SCI M143,2.7825
BIO SCI N147,3.3657142857142857
BIO SCI E150,3.2260000000000004
BIO SCI N152,3.277142857142857
