name,department,school,take_again,difficulty,avg_gpa,Clear grading criteria,Respected,Get ready to read,Skip class? You won't pass.,Tough grader,Accessible outside class,Graded by few things,Lecture heavy,Test heavy,Inspirational,Amazing lectures,Caring,Gives good feedback,Participation matters,Hilarious,Lots of homework,rating,score,total_tags
"PETERSON, K.",Anthropology,UC Irvine,67,2.7,3.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,3.7393954,0
"ANDRICIOAEI, I.",Chemistry,UC Irvine,67,2.8,2.738,0,0,3,0,0,0,0,3,4,0,0,0,0,0,0,0,3.8,3.7384405,10
"SCHWAB, M.",Philosophy,UC Irvine,,3.0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.737555,0
"SANDERS, B.",Civil Engineering,UC Irvine,88,3.9,2.7011111111111115,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.7366543,12
"GEORGIOU, T.",Mechanical Engineering,UC Irvine,72,3.3,3.833076923076924,0,6,0,0,0,4,0,0,0,0,0,0,3,0,0,0,3.7,3.7364671,13
"LONG, M.",Humanities,UC Irvine,100,3.8,3.4714285714285715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,3.7361999,0
"BUSCIGLIO, J.",Biology,UC Irvine,53,3.6,3.0105555555555554,5,4,12,6,0,0,0,10,0,0,0,3,0,3,0,0,3.9,3.7352598,43
"RAFELSKI, S.",Biological Sciences,UC Irvine,,4.0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,3.7335944,0
"MORALES, A.",Literature,UC Irvine,75,2.8,3.5388000000000006,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,2.8,3.7333646,6
"AL-AMIN, M.",Chemistry,UC Irvine,,2.7,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,3.7282305,0
"BOLZENDAHL, C.",Sociology,UC Irvine,67,3.3,2.9887500000000005,4,0,4,3,0,0,0,0,3,0,0,0,0,4,0,0,3.9,3.7272565,18
"LANE, P.",Writing,UC Irvine,43,3.5,3.708888888888888,0,0,0,3,0,0,0,0,0,3,0,0,5,3,0,0,3.5,3.7270517,14
"MA, A.",Mathematics,UC Irvine,65,3.6,2.978888888888889,0,0,0,0,4,6,0,0,0,0,0,7,0,0,3,5,3.8,3.7238755,25
"PENNER, R.",Chemistry,UC Irvine,59,2.8,3.086666666666667,3,3,4,5,0,0,3,4,7,0,0,0,0,0,6,4,3.7,3.721515,39
"MAGIDSON, M.",Criminology,UC Irvine,50,3.0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.7209907,0
"BRODERICK, R.",Mathematics,UC Irvine,100,3.2,2.424,0,0,0,6,0,0,0,0,0,0,3,3,0,0,0,0,3.6,3.7199004,12
