name, department, school, tags, rating, take_again, difficulty
Stephen Schueller,Psychology,UC Irvine,"{'Accessible outside class': 2, 'Amazing lectures': 2, 'Amazing lectures ': 1, 'Caring': 6, 'Clear grading criteria': 5, 'EXTRA CREDIT': 7, 'Gives good feedback': 1, 'Graded by few things': 1, 'Inspirational': 4, 'Lecture heavy': 2, 'Lots of homework': 1, 'Respected': 1, 'Test heavy': 1}",4.4,91,3
Yasser Shoukry,Engineering,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Gives good feedback': 2, 'Inspirational': 2}",5,100,3
Ashley Cheri,Education,UC Irvine,"{'Inspirational': 2, 'Participation matters': 2, 'Respected': 2}",5,100,2
Joseph Kramer-Miller,Mathematics,UC Irvine,"{'Accessible outside class': 4, 'Caring': 5, 'Clear grading criteria': 3, 'EXTRA CREDIT': 1, 'Get ready to read': 1, 'Gives good feedback': 1, 'Graded by few things': 5, 'Lots of homework': 1, 'Respected': 1, 'Test heavy': 1, 'Tough grader': 4}",3.6,67,3.2
Laura Tucker,Physics  Astronomy,UC Irvine,"{'Accessible outside class': 4, 'Amazing lectures': 3, 'Caring': 8, 'Clear grading criteria': 3, 'Gives good feedback': 6, 'Group projects': 5, 'Inspirational': 2, 'Lecture heavy': 2, 'Lots of homework': 8, 'Participation matters': 6, 'Respected': 1, ""Skip class? You won't pass."": 3, 'Test heavy': 1, 'Tough grader': 1}",3,78,4
Long Bui,International Studies,UC Irvine,"{'Accessible outside class': 1, 'Amazing lectures': 3, 'Amazing lectures ': 2, 'Caring': 1, 'Clear grading criteria': 3, 'EXTRA CREDIT': 2, 'Gives good feedback': 1, 'Graded by few things': 1, 'Inspirational': 3, 'Respected': 3}",5,100,1.6
Ruth Goldstein,International Studies,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Caring': 4, 'Gives good feedback': 3, 'Inspirational': 3, 'Respected': 2}",5,100,2
Michael Gokhale,Physics  Astronomy,UC Irvine,"{'Amazing lectures': 1, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 3, 'Inspirational': 3, 'Respected': 3, 'TEST HEAVY': 2, 'Test heavy': 1, 'Tough Grader': 1, 'Tough grader': 1, 'Would take again': 1}",2.8,58,3.5
Szu-Wen Wang,Chemical Engineering,UC Irvine,"{'Accessible outside class': 2, 'Caring': 3, 'Gives good feedback': 2, 'Inspirational': 2, 'Respected': 2}",5,100,3
Andromache Karanika,Classics,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Amazing lectures': 1, 'Caring': 3, 'Clear grading criteria': 3, 'GRADED BY FEW THINGS': 2, 'Get ready to read': 2, 'Graded by few things': 2, 'Inspirational': 1, 'LECTURE HEAVY': 1, 'Lecture heavy': 5, 'Participation matters': 2, 'Respected': 2, 'TEST HEAVY': 2, 'Test heavy': 2, 'Tough grader': 1}",3.3,34,2.3
Dominik Wodarz,Biological Sciences,UC Irvine,"{'Accessible outside class': 5, 'Caring': 1, 'Graded by few things': 5, 'Lecture heavy': 4, 'Participation matters': 1, ""Skip class? You won't pass."": 4, 'Test heavy': 1}",3.8,100,3.1
Shane Gonen,Biochemistry,UC Irvine,"{'Accessible outside class': 2, 'Amazing lectures': 1, 'Caring': 7, 'Clear grading criteria': 7, 'Get ready to read': 1, 'Gives good feedback': 3, 'Graded by few things': 4, 'Hilarious': 3, 'Inspirational': 2, 'Lecture heavy': 5, 'Respected': 1, 'Test heavy': 9, 'Tough grader': 1}",3.5,58,4
J. Ryan McKeachie,Chemistry,UC Irvine,"{'Get ready to read': 2, 'Hilarious': 2, 'Inspirational': 2}",3.8,100,3.2
Manuel Gamero-Castaño,Engineering,UC Irvine,"{'Amazing lectures': 1, 'Clear grading criteria': 2, 'Get ready to read': 1, 'Graded by few things': 1, 'Group projects': 2, 'LECTURE HEAVY': 1, 'Lecture heavy': 6, 'Lots of homework': 4, 'Respected': 1, ""Skip class? You won't pass."": 4, 'Test heavy': 4, 'Tough grader': 3}",3.1,54,4.1
Mei Zhan,Anthropology,UC Irvine,"{'Amazing lectures ': 1, 'BEWARE OF POP QUIZZES': 5, 'Beware of pop quizzes': 4, 'Clear grading criteria': 2, 'GRADED BY FEW THINGS': 3, 'Get ready to read': 9, 'Graded by few things': 8, 'LECTURE HEAVY': 3, 'Lecture heavy': 4, 'Participation matters': 1, 'Respected': 2, ""Skip class? You won't pass."": 4, 'TEST HEAVY': 1, 'Test heavy': 2}",3.5,65,2.8
Davin Phoenix,Political Science,UC Irvine,"{'Accessible outside class': 2, 'Amazing lectures': 8, 'Amazing lectures ': 2, 'Caring': 11, 'Clear grading criteria': 3, 'Get ready to read': 1, 'Gives good feedback': 2, 'Graded by few things': 4, 'Hilarious': 5, 'Inspirational': 6, 'LECTURE HEAVY': 1, 'Participation matters': 5, 'Respected': 9}",4.8,97,2
Scott Bollens,"Planning, Policy & Design",UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Amazing lectures': 1, 'Amazing lectures ': 1, 'Caring': 2, 'Clear grading criteria': 3, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 5, 'Gives good feedback': 2, 'Graded by few things': 3, 'Inspirational': 5, 'LECTURE HEAVY': 1, 'Lecture heavy': 6, 'Participation matters': 5, 'Respected': 6, ""Skip class? You won't pass."": 3, 'Tough grader': 2}",4.9,80,3.3
Bert Winther-Tamaki,Fine Arts,UC Irvine,"{'Amazing lectures': 3, 'Amazing lectures ': 1, 'Caring': 3, 'Get ready to read': 3, 'Graded by few things': 2, 'Inspirational': 1, 'LECTURE HEAVY': 2, 'Lecture heavy': 2, 'Respected': 3, 'TEST HEAVY': 1}",4.6,100,3
Patricia Wellmeyer,Accounting,UC Irvine,"{'Amazing lectures': 2, 'Amazing lectures ': 1, 'Caring': 2, 'Clear grading criteria': 2, 'GROUP PROJECTS': 3, 'Get ready to read': 5, 'Gives good feedback': 2, 'Group projects': 1, 'Inspirational': 2, 'LECTURE HEAVY': 1, 'LOTS OF HOMEWORK': 3, 'Lecture heavy': 3, 'Lots of homework': 1, 'Participation matters': 1, 'Respected': 2, ""Skip class? You won't pass."": 1, 'So many papers': 1, 'TEST HEAVY': 4, 'Test heavy': 3, 'Would take again': 1}",3.8,69,3
Mimi Liljeholm,Cognitive Science,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 2, 'Accessible outside class': 2, 'Amazing lectures': 1, 'Caring': 4, 'Graded by few things': 1, 'Inspirational': 1, 'LECTURE HEAVY': 1, 'Lecture heavy': 6, 'Respected': 1, ""Skip class? You won't pass."": 2, 'Test heavy': 6, 'Tough grader': 3}",3,42,4
Sameer Singh,Computer Science,UC Irvine,"{'Accessible outside class': 5, 'Amazing lectures': 2, 'Amazing lectures ': 1, 'Clear grading criteria': 2, 'Get ready to read': 5, 'Gives good feedback': 3, 'Graded by few things': 5, 'Group projects': 10, 'LOTS OF HOMEWORK': 3, 'Lots of homework': 7, 'Respected': 2}",3.5,73,4.4
Linda Gruen,Writing,UC Irvine,"{'Accessible outside class': 2, 'Gives good feedback': 2, 'Lots of homework': 2, 'Participation matters': 2, 'Respected': 2}",3,0,4
Sven Bernecker,Philosophy,UC Irvine,"{'Clear grading criteria': 5, 'Get ready to read': 5, 'Gives good feedback': 2, 'Inspirational': 1, 'LECTURE HEAVY': 2, 'LOTS OF HOMEWORK': 3, 'Lecture heavy': 3, 'Lots of homework': 1, 'Participation matters': 6, 'Respected': 1, 'So many papers': 1}",4.3,59,2.9
Audrey Lew,Biology,UC Irvine,"{'Amazing lectures ': 1, 'Caring': 2, 'Clear grading criteria': 2, 'Get ready to read': 1, 'Gives good feedback': 1, 'Graded by few things': 1, 'Lecture heavy': 5, 'Lots of homework': 1, 'Participation matters': 4, 'Respected': 1, ""Skip class? You won't pass."": 3, 'TEST HEAVY': 1, 'Test heavy': 4, 'Tough Grader': 1, 'Tough grader': 8}",3,39,4
Nancy Rodriguez,Criminology,UC Irvine,"{'Amazing lectures': 4, 'Amazing lectures ': 1, 'Caring': 1, 'Clear grading criteria': 3, 'Get ready to read': 9, 'Graded by few things': 4, 'Inspirational': 2, 'Respected': 5, 'Tough grader': 1, 'Would take again': 1}",3.5,55,3.4
William Tang,Engineering,UC Irvine,"{'Amazing lectures': 2, 'Amazing lectures ': 1, 'GROUP PROJECTS': 1, 'Gives good feedback': 1, 'Hilarious': 1, 'Lecture heavy': 1, 'Lots of homework': 5, 'Participation matters': 2, 'Test heavy': 4, 'Tough Grader': 1, 'Tough grader': 3}",3,29,3.8
Stephanie McEwan,Psychology,UC Irvine,"{'Accessible outside class': 3, 'Amazing lectures ': 9, 'Caring': 3, 'Clear grading criteria': 2, 'Inspirational': 4, 'Online Savvy': 1, 'Respected': 12, 'Would take again': 1}",5,100,3
Keith Woerpel,Chemistry,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Caring': 2, 'Clear grading criteria': 3, 'Get ready to read': 3, 'Gives good feedback': 1, 'Graded by few things': 5, 'Inspirational': 1, 'Respected': 1, ""Skip class? You won't pass."": 6, 'Test heavy': 5}",4.3,50,3.4
Karajean Hyde,Reading,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Gives good feedback': 2, 'Inspirational': 3, 'Participation matters': 2, ""Skip class? You won't pass."": 2}",4.5,100,2.2
Mirroslav Yotov,Mathematics,UC Irvine,"{'Beware of pop quizzes': 2, 'Graded by few things': 2}",2.6,0,2.8
Padhraic Smyth,Computer Science,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 2, 'Caring': 3, 'Clear grading criteria': 1, 'Get ready to read': 2, 'Gives good feedback': 1, 'Group projects': 1, 'Inspirational': 1, 'LOTS OF HOMEWORK': 1, 'Lecture heavy': 1, 'Lots of homework': 3, 'Respected': 1, 'Tough grader': 2}",4.4,84,3.4
Diane Nevarez,Education,UC Irvine,"{'Amazing lectures': 8, 'Amazing lectures ': 1, 'Caring': 15, 'Clear grading criteria': 4, 'Get ready to read': 2, 'Gives good feedback': 10, 'Graded by few things': 2, 'Group projects': 1, 'Inspirational': 10, 'Participation matters': 1, 'Respected': 7}",4.7,100,1.7
Zhibin Guan,Chemistry,UC Irvine,"{'Accessible outside class': 4, 'Amazing lectures': 2, 'Amazing lectures ': 2, 'Caring': 5, 'Clear grading criteria': 2, 'Get ready to read': 5, 'Lecture heavy': 1, 'Lots of homework': 2, 'Online Savvy': 1, 'Respected': 2, 'TEST HEAVY': 1, 'Test heavy': 3, 'Tough Grader': 1}",3.8,90,3.3
Cailin O'Connor,Logic  Philosophy,UC Irvine,"{'Amazing lectures': 1, 'Get ready to read': 1, 'Gives good feedback': 1, 'Graded by few things': 3, 'Group projects': 3, 'Hilarious': 4, 'Inspirational': 1, 'Participation matters': 3, 'Tough grader': 3}",4.4,80,2.5
Gaystri Mehra,Writing,UC Irvine,"{'Lots of homework': 3, 'So many papers': 2, 'Tough grader': 2}",1.3,0,3.7
Avery Reagan,Dramatic Arts,UC Irvine,"{'Graded by few things': 2, 'Lecture heavy': 2, ""Skip class? You won't pass."": 3, 'Test heavy': 2, 'Tough grader': 2}",1,0,5
Sarah Award,Art,UC Irvine,{'Tough grader': 3},2,100,3.8
Pierre Baldi,Computer Science,UC Irvine,"{'GRADED BY FEW THINGS': 1, 'Get ready to read': 3, 'Graded by few things': 1, 'Inspirational': 3, 'Lots of homework': 2, 'Participation matters': 1, 'Respected': 5, ""Skip class? You won't pass."": 5}",2.4,20,3.4
Elliot Hui,Biomedical,UC Irvine,"{'Get ready to read': 2, 'LOTS OF HOMEWORK': 2, 'Lots of homework': 1, 'TEST HEAVY': 2, 'Test heavy': 2, 'Tough Grader': 1, 'Tough grader': 1}",2,20,4.6
Li Zhang,Social Science,UC Irvine,"{'Accessible outside class': 3, 'Caring': 4, 'Clear grading criteria': 1, 'Gives good feedback': 5, 'Inspirational': 1, 'Participation matters': 3, 'Respected': 3}",5,100,1.8
Jessica Garrison,Urban Planning,UC Irvine,"{'Accessible outside class': 3, 'Amazing lectures': 2, 'Amazing lectures ': 2, 'Caring': 7, 'Clear grading criteria': 4, 'Get ready to read': 1, 'Gives good feedback': 5, 'Graded by few things': 1, 'Group projects': 2, 'Inspirational': 1, 'Respected': 6}",5,100,2.3
Richard Matthew,Environmental Studies,UC Irvine,"{'Amazing lectures': 1, 'Clear grading criteria': 2, 'EXTRA CREDIT': 5, 'GROUP PROJECTS': 1, 'Graded by few things': 1, 'Group projects': 1, 'Inspirational': 3, 'LECTURE HEAVY': 1, 'Lecture heavy': 3, 'Participation matters': 1, 'Respected': 4, ""Skip class? You won't pass."": 1, 'Tough grader': 1}",4,56,1.9
Michael Prather,Earth Science,UC Irvine,"{'Clear grading criteria': 1, 'EXTRA CREDIT': 1, 'Graded by few things': 3, 'Group projects': 4, 'Lecture heavy': 6, 'Lots of homework': 3, 'Participation matters': 4, ""Skip class? You won't pass."": 1, 'Tough grader': 1}",2.6,34,3.5
Anna Radovic,Biology,UC Irvine,"{'Beware of pop quizzes': 1, 'Get ready to read': 6, 'Graded by few things': 1, 'Lecture heavy': 8, 'Lots of homework': 1, ""Skip class? You won't pass."": 4, 'Test heavy': 8, 'Tough grader': 10}",1,0,4.5
John Smith,Languages,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Accessible outside class': 1, 'Amazing lectures': 3, 'Caring': 2, 'Clear grading criteria': 4, 'EXTRA CREDIT': 7, 'Get ready to read': 6, 'Gives good feedback': 4, 'Inspirational': 3, 'LECTURE HEAVY': 3, 'LOTS OF HOMEWORK': 1, 'Lecture heavy': 2, 'Lots of homework': 2, 'Participation matters': 1, 'Respected': 2, 'SO MANY PAPERS': 1, ""Skip class? You won't pass."": 1}",4.1,100,2.3
Ricardo Rocha,Dramatic Arts,UC Irvine,"{'Accessible outside class': 1, 'Amazing lectures': 1, 'Amazing lectures ': 1, 'Gives good feedback': 2, 'Inspirational': 2, 'LECTURE HEAVY': 1, 'Participation matters': 2, 'Respected': 2}",3.7,67,3.3
Michelle I. Montague,Philosophy,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Clear grading criteria': 2, 'Get ready to read': 2, 'Inspirational': 2, 'Participation matters': 2, 'Respected': 1}",4,100,2.2
Rui (Ray) Luo,Biological Sciences,UC Irvine,"{'Clear grading criteria': 5, 'EXTRA CREDIT': 5, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 3, 'Graded by few things': 3, 'Group projects': 1, 'Inspirational': 1, 'Lecture heavy': 1, 'Participation matters': 2, 'TEST HEAVY': 1, 'Test heavy': 3, 'Tough Grader': 1}",2.3,67,3.3
Loretta Ramirez,English,UC Irvine,"{'Accessible outside class': 4, 'Caring': 6, 'Clear grading criteria': 3, 'Gives good feedback': 6, 'Respected': 3}",5,100,2.7
Aaron Bornstein,Cognitive Science,UC Irvine,"{'Accessible outside class': 1, 'Gives good feedback': 3, 'Graded by few things': 1, 'Group projects': 3, 'Lots of homework': 2, 'So many papers': 2, 'Tough grader': 3}",3,50,3.5
Phillip Sheu,Engineering,UC Irvine,"{'Amazing lectures': 1, 'Caring': 2, 'Get ready to read': 4, 'Graded by few things': 7, 'Hilarious': 5, 'Inspirational': 1, 'LOTS OF HOMEWORK': 1, 'Lecture heavy': 1, 'Lots of homework': 2, 'SO MANY PAPERS': 1, 'Test heavy': 2, 'Tough Grader': 1, 'Tough grader': 4}",2.9,16,3.5
Edwin Hernandez,Mechanical Engineering,UC Irvine,"{'Accessible outside class': 2, 'Amazing lectures': 4, 'Amazing lectures ': 1, 'Caring': 5, 'Clear grading criteria': 1, 'EXTRA CREDIT': 1, 'Group projects': 3, 'Hilarious': 1, 'Inspirational': 3, 'Lots of homework': 3, 'Participation matters': 1, 'Respected': 1}",4.8,100,2
Tejaswi Velayudhan,Economics,UC Irvine,"{'Accessible outside class': 1, 'Caring': 3, 'Clear grading criteria': 2, 'Get ready to read': 3, 'Gives good feedback': 1, 'Lecture heavy': 1, 'Lots of homework': 1, ""Skip class? You won't pass."": 2, 'Tough grader': 2}",3.2,50,4.2
Andrew Tonkovich,Humanities,UC Irvine,"{'Accessible outside class': 10, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 5, 'Gives good feedback': 7, 'Graded by few things': 2, 'Lots of homework': 5, 'Participation matters': 2, ""Skip class? You won't pass."": 3, 'So many papers': 4, 'Tough grader': 14}",3.3,40,4.1
Wenlong Jin,Civil Engineering,UC Irvine,"{'Accessible outside class': 1, 'BEWARE OF POP QUIZZES': 1, 'Beware of pop quizzes': 1, 'Caring': 1, 'GROUP PROJECTS': 1, 'Group projects': 2, 'Lots of homework': 1, 'Participation matters': 1, 'Tough grader': 2}",3,100,3.4
Oliver Sng,Psychology & Social Behavior,UC Irvine,"{'Accessible outside class': 3, 'Amazing lectures': 2, 'Amazing lectures ': 3, 'Caring': 2, 'Clear grading criteria': 1, 'Get ready to read': 2, 'Gives good feedback': 1, 'Graded by few things': 4, 'Lecture heavy': 6, 'Participation matters': 7, 'Respected': 1, ""Skip class? You won't pass."": 4, 'Test heavy': 2}",4.9,93,3
Ermanno Bencivenga,Philosophy,UC Irvine,"{'Amazing lectures': 2, 'Amazing lectures ': 1, 'Clear grading criteria': 7, 'GRADED BY FEW THINGS': 2, 'Inspirational': 4, 'Participation matters': 1, 'Respected': 4, ""Skip class? You won't pass."": 1, 'TEST HEAVY': 1, 'Test heavy': 1, 'Tests? Not many': 1}",3,90,3.1
Janice  Hansen,Education,UC Irvine,"{'Accessible outside class': 5, 'Amazing lectures': 3, 'Amazing lectures ': 1, 'Caring': 9, 'Clear grading criteria': 6, 'EXTRA CREDIT': 3, 'GROUP PROJECTS': 1, 'Gives good feedback': 2, 'Graded by few things': 3, 'Group projects': 6, 'Hilarious': 2, 'Lecture heavy': 3, 'Lots of homework': 1, 'Respected': 7, 'Test heavy': 4}",3.6,74,3.5
Reginald Penner,Chemistry,UC Irvine,"{'Accessible outside class': 2, 'Amazing lectures': 2, 'Caring': 1, 'Clear grading criteria': 3, 'GRADED BY FEW THINGS': 3, 'Get ready to read': 4, 'Gives good feedback': 1, 'Graded by few things': 3, 'Hilarious': 6, 'Inspirational': 1, 'LOTS OF HOMEWORK': 2, 'Lecture heavy': 4, 'Lots of homework': 4, 'Respected': 3, ""Skip class? You won't pass."": 5, 'TEST HEAVY': 3, 'Test heavy': 7, 'Tough Grader': 2}",3.7,59,2.8
Sergio Gago-Masague,Computer Science,UC Irvine,"{'Accessible outside class': 7, 'Amazing lectures': 1, 'Caring': 6, 'Clear grading criteria': 3, 'EXTRA CREDIT': 7, 'Gives good feedback': 1, 'Graded by few things': 1, 'Group projects': 3, 'Inspirational': 7, 'Lecture heavy': 2, 'Lots of homework': 3, 'Participation matters': 3, 'Respected': 5, ""Skip class? You won't pass."": 1, 'Test heavy': 2, 'Tough grader': 1}",4.1,83,3.8
Elizabeth Bess,Chemistry,UC Irvine,"{'Accessible outside class': 3, 'Amazing lectures': 3, 'Amazing lectures ': 1, 'Caring': 8, 'Clear grading criteria': 7, 'EXTRA CREDIT': 1, 'Graded by few things': 1, 'Inspirational': 2, 'Lecture heavy': 1, 'Lots of homework': 9, 'Respected': 3, ""Skip class? You won't pass."": 5, 'Test heavy': 9, 'Tough grader': 1}",4.4,86,4
Nalei Guzman,Spanish,UC Irvine,{},3.5,0,2.5
Peter Navarro,Economics,UC Irvine,"{'Beware of pop quizzes': 1, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 4, 'Graded by few things': 2, 'LECTURE HEAVY': 2, 'LOTS OF HOMEWORK': 3, 'Lecture heavy': 1, 'Lots of homework': 1, 'Participation matters': 5, 'TEST HEAVY': 1}",3,50,2
Tryphon Georgiou,Mechanical Engineering,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 2, 'Accessible outside class': 4, 'Caring': 1, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 2, 'Gives good feedback': 3, 'Hilarious': 1, 'Inspirational': 1, 'LECTURE HEAVY': 1, 'Respected': 6, ""Skip class? You won't pass."": 2}",3.7,72,3.3
Sarah Hanson-Kegerreis,Writing,UC Irvine,"{'Accessible outside class': 8, 'Amazing lectures ': 1, 'Caring': 7, 'Clear grading criteria': 2, 'Get ready to read': 2, 'Gives good feedback': 11, 'Graded by few things': 1, 'Inspirational': 1, 'Lots of homework': 2, 'Participation matters': 4, 'Respected': 5}",4.6,93,3.4
Sarah Finkeldei,Chemistry,UC Irvine,"{'Accessible outside class': 4, 'Amazing lectures ': 1, 'Caring': 2, 'Clear grading criteria': 2, 'Get ready to read': 5, 'Graded by few things': 3, 'Group projects': 1, 'Lecture heavy': 1, 'Lots of homework': 2, 'Respected': 1, ""Skip class? You won't pass."": 3, 'Test heavy': 14, 'Tough grader': 3}",2.5,34,3.6
Zhou Li,Engineering,UC Irvine,"{'Amazing lectures ': 2, 'Graded by few things': 2, 'Lots of homework': 3, 'Respected': 2, 'Tough grader': 5}",2.9,50,4
Ilona Yim,Psychology,UC Irvine,"{'Caring': 1, 'Clear grading criteria': 1, 'EXTRA CREDIT': 7, 'GRADED BY FEW THINGS': 1, 'GROUP PROJECTS': 5, 'Get ready to read': 6, 'Gives good feedback': 1, 'Group projects': 5, 'LECTURE HEAVY': 1, 'LOTS OF HOMEWORK': 1, 'Lots of homework': 2, 'Participation matters': 1, 'Respected': 2, 'SO MANY PAPERS': 1, ""Skip class? You won't pass."": 4, 'So many papers': 1, 'Test heavy': 1, 'Tough Grader': 3, 'Tough grader': 2}",3.4,56,3.3
Ana Muniz,Criminology Law  Society,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 2, 'Accessible outside class': 2, 'Amazing lectures': 6, 'Amazing lectures ': 1, 'Caring': 12, 'Clear grading criteria': 5, 'GRADED BY FEW THINGS': 2, 'Get ready to read': 4, 'Graded by few things': 2, 'Inspirational': 5, 'LECTURE HEAVY': 2, 'Participation matters': 9, 'Respected': 6, 'SO MANY PAPERS': 1, ""Skip class? You won't pass."": 1}",4.2,95,2.1
Yunxia Lu,Public Health,UC Irvine,"{'Amazing lectures': 1, 'Beware of pop quizzes': 1, 'Caring': 3, 'Gives good feedback': 1, 'Graded by few things': 3, 'Group projects': 1, 'Inspirational': 1, 'LECTURE HEAVY': 1, 'Lecture heavy': 3, 'Participation matters': 3, 'Respected': 1, ""Skip class? You won't pass."": 2}",3.7,58,2.9
Matthew McHenry,Biological Sciences,UC Irvine,"{'Accessible outside class': 3, 'Amazing lectures': 7, 'Amazing lectures ': 2, 'Clear grading criteria': 3, 'Gives good feedback': 1, 'Graded by few things': 6, 'LECTURE HEAVY': 1, 'Lecture heavy': 11, 'Participation matters': 2, 'Respected': 2, ""Skip class? You won't pass."": 2, 'TEST HEAVY': 1, 'Test heavy': 11, 'Tough grader': 5}",3.9,80,4.1
Nancy McLoughlin,History,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Amazing lectures ': 1, 'Caring': 4, 'Clear grading criteria': 4, 'Get ready to read': 7, 'Gives good feedback': 1, 'Group projects': 1, 'Lecture heavy': 1, 'Participation matters': 4, 'Respected': 1, 'Tough Grader': 1, 'Tough grader': 3}",3.6,60,3.8
Hyun Joo (Sandy) Oh,English,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Caring': 1, 'Clear grading criteria': 2, 'EXTRA CREDIT': 2, 'Get ready to read': 3, 'Gives good feedback': 3, 'Inspirational': 1}",4.6,75,2.9
Luke Rhee,Business,UC Irvine,"{'Accessible outside class': 1, 'Caring': 1, 'Gives good feedback': 3, 'Graded by few things': 1, 'Group projects': 3, 'Inspirational': 2, 'Participation matters': 2, 'Tough grader': 2}",3,50,2.5
Peyam Tabrizian,Mathematics,UC Irvine,"{'Accessible outside class': 4, 'Amazing lectures': 11, 'Amazing lectures ': 1, 'Caring': 1, 'Clear grading criteria': 1, 'Gives good feedback': 2, 'Graded by few things': 2, 'Hilarious': 8, 'Inspirational': 10, 'Lecture heavy': 1, 'Lots of homework': 2, 'Respected': 4, ""Skip class? You won't pass."": 4, 'Test heavy': 4, 'Tough grader': 1}",4.8,92,3.5
Anke Biendarra,Humanities,UC Irvine,"{'Accessible outside class': 1, 'Get ready to read': 2, 'Gives good feedback': 2, 'Graded by few things': 2, 'Participation matters': 2, 'Tough grader': 2}",2.9,25,3.6
Jonathan Nguyen,Biological Sciences,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Caring': 2, 'Hilarious': 2}",4.8,100,1
Hillary Berk,Criminology Law  Society,UC Irvine,"{'Amazing lectures': 3, 'Amazing lectures ': 5, 'Caring': 11, 'Clear grading criteria': 4, 'Get ready to read': 8, 'Gives good feedback': 1, 'Group projects': 2, 'Hilarious': 1, 'Participation matters': 10, 'Respected': 7, ""Skip class? You won't pass."": 1, 'Test heavy': 1, 'Tough grader': 2}",4.8,82,3.4
Jeremy Heis,Logic & Philosophy,UC Irvine,"{'Accessible outside class': 1, 'Amazing lectures': 2, 'Amazing lectures ': 2, 'Caring': 1, 'Clear grading criteria': 7, 'Get ready to read': 2, 'Gives good feedback': 1, 'Hilarious': 1, 'LECTURE HEAVY': 3, 'LOTS OF HOMEWORK': 2, 'Lecture heavy': 2, 'Online Savvy': 1, 'Participation matters': 4, 'Respected': 4, ""Skip class? You won't pass."": 2, 'TEST HEAVY': 1, 'Test heavy': 1}",4.5,75,3
Marcello Fiocco,Philosophy,UC Irvine,"{'Accessible outside class': 1, 'GRADED BY FEW THINGS': 2, 'Get ready to read': 12, 'Gives good feedback': 1, 'Graded by few things': 5, 'Lecture heavy': 1, 'Lots of homework': 3, 'Online Savvy': 1, 'Participation matters': 2, ""Skip class? You won't pass."": 1, 'So many papers': 1, 'Tough Grader': 4, 'Tough grader': 6}",2.5,8,4.4
Justin Richland,Criminal Justice,UC Irvine,"{'Caring': 2, 'Graded by few things': 3, 'Hilarious': 4, 'Inspirational': 2, 'Lecture heavy': 3}",4.2,40,3.1
Allon Hochbaum,Chemical Engineering,UC Irvine,"{'Accessible outside class': 1, 'Amazing lectures': 6, 'Amazing lectures ': 1, 'BEWARE OF POP QUIZZES': 2, 'Caring': 5, 'Clear grading criteria': 3, 'EXTRA CREDIT': 1, 'Gives good feedback': 2, 'Hilarious': 2, 'Inspirational': 1, 'Lecture heavy': 1, 'Lots of homework': 2, 'Participation matters': 1, 'Respected': 8, ""Skip class? You won't pass."": 4}",4.5,93,3.3
Paul Dourish,Informatics,UC Irvine,"{'Get ready to read': 3, 'Group projects': 1, 'Tough grader': 1}",3.6,100,2.8
Ayman Mosallam,Civil Engineering,UC Irvine,"{'Get ready to read': 2, 'Graded by few things': 2, 'Lecture heavy': 2}",3.2,0,2.9
FERGUSON J.,Chemical Engineering,UC Irvine,"{'Lecture heavy': 3, ""Skip class? You won't pass."": 3, 'Test heavy': 2}",4,50,4.5
Paul Gershon,Biological Sciences,UC Irvine,"{'Get ready to read': 3, 'LECTURE HEAVY': 4, 'LOTS OF HOMEWORK': 1, 'Lecture heavy': 3, ""Skip class? You won't pass."": 5, 'TEST HEAVY': 1, 'Tests are tough': 2, 'Tough Grader': 1, 'Tough grader': 1}",2.5,34,3.6
Scott Atwood,Biological Sciences,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 2, 'Amazing lectures': 8, 'Amazing lectures ': 4, 'Caring': 5, 'Clear grading criteria': 3, 'Get ready to read': 10, 'Graded by few things': 1, 'LECTURE HEAVY': 3, 'LOTS OF HOMEWORK': 1, 'Lecture heavy': 5, 'Participation matters': 1, 'Respected': 4, ""Skip class? You won't pass."": 7, 'TEST HEAVY': 1, 'Test heavy': 2, 'Tests are tough': 2, 'Tough Grader': 1, 'Tough grader': 2}",4.3,70,4.8
