name, department, school, tags, rating, take_again, difficulty
Teresa Griffith,Linguistics,UC Irvine,"{'Get ready to read': 1, 'Lecture heavy': 1, 'Lots of homework': 1, ""Skip class? You won't pass."": 1, 'Tough grader': 1}",3.2,N/,2.7
Gundrun Magnusdottir,Science,UC Irvine,"{'Gives good feedback': 1, 'Graded by few things': 2, 'Lecture heavy': 2, 'Tough grader': 2, 'Would take again': 1}",2,N/,3.5
Craig Martens,Chemistry,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 3, 'Caring': 5, 'Clear grading criteria': 6, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 2, 'Gives good feedback': 1, 'Hilarious': 3, 'LECTURE HEAVY': 1, 'Lecture heavy': 1, 'TEST HEAVY': 1, 'Would take again': 1}",3.7,67,2
Philip Nickel,Philosophy,UC Irvine,{},3.6,N/,3
J. Terry,Women's Studies,UC Irvine,"{'BEWARE OF POP QUIZZES': 1, 'Beware of pop quizzes': 1, 'Caring': 1, 'Get ready to read': 4, 'LECTURE HEAVY': 1, 'Lots of homework': 2, ""Skip class? You won't pass."": 1, 'TEST HEAVY': 1, 'Tough grader': 2}",3.8,67,3
Diane O'Dowd,Biology,UC Irvine,{},4.4,N/,3.2
Dorothy Solinger,Political Science,UC Irvine,"{'Get ready to read': 1, 'Gives good feedback': 2, 'Inspirational': 2, 'Lots of homework': 1, 'Tough Grader': 1, 'Tough grader': 1}",3.6,34,3.3
Matthew Foreman,Mathematics,UC Irvine,"{'Amazing lectures ': 1, 'Graded by few things': 1, 'Lecture heavy': 4, 'Lots of homework': 5, 'Participation matters': 3, ""Skip class? You won't pass."": 2, 'Tough grader': 5}",3,40,4.9
Susan Coutin,Criminal Justice,UC Irvine,{},3.8,N/,2.6
Andrew Jowdy Collins,English,UC Irvine,{},4.6,N/,2.3
Ronald L. Meyer,Biology,UC Irvine,{},4.2,N/,2.4
Richard Wetts,Biology,UC Irvine,{},3.8,N/,3.4
S.L. Tauro,Computer Science,UC Irvine,{},3,N/,3.3
I.D. Scherson,Computer Science,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 4, 'Accessible outside class': 1, 'Amazing lectures': 5, 'Amazing lectures ': 2, 'Caring': 4, 'Clear grading criteria': 1, 'EXTRA CREDIT': 1, 'GROUP PROJECTS': 3, 'Gives good feedback': 1, 'Hilarious': 5, 'Inspirational': 4, 'LECTURE HEAVY': 1, 'LOTS OF HOMEWORK': 1, 'Lots of homework': 1, 'Participation matters': 1, 'Respected': 1, ""Skip class? You won't pass."": 1}",4.1,85,2.9
Sheila Vaughn,Psychology,UC Irvine,{},3.3,N/,2.6
Wayne Sandholtz,Political Science,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Amazing lectures': 2, 'Amazing lectures ': 1, 'Clear grading criteria': 1, 'Get ready to read': 4, 'LOTS OF HOMEWORK': 2, 'Participation matters': 2, 'TEST HEAVY': 2, 'Test heavy': 1, 'Tough Grader': 2, 'Tough grader': 1}",4.3,40,2.5
Matt Nelson,Humanities,UC Irvine,{},3.3,N/,4.4
James Yeh,Mathematics,UC Irvine,{},2.9,N/,2.3
Janet Neary,English,UC Irvine,{},4.6,N/,3.8
Joseph B. Huszti,Music,UC Irvine,"{'Gives good feedback': 1, 'Inspirational': 1, 'Participation matters': 1, 'Respected': 1, 'Would take again': 1}",3.4,0,2.5
Stergios Skaperdas,Economics,UC Irvine,{},2.4,N/,2.9
Robert Garfias,Anthropology,UC Irvine,{},3.5,N/,2.4
Shawn W. Rosenberg,Political Science,UC Irvine,"{'Get ready to read': 2, 'Participation matters': 2, 'So many papers': 2}",3.1,0,3.3
Vincent B. O'Boyle,Physical Ed,UC Irvine,{},2.7,N/,3.5
Jessica L. Treglia,English,UC Irvine,"{'Clear grading criteria': 1, 'Gives good feedback': 1, 'Hilarious': 1}",4.9,N/,2.6
Oliver Gregor Berghof,Humanities,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Accessible outside class': 1, 'Caring': 7, 'Clear grading criteria': 1, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 2, 'Gives good feedback': 6, 'Inspirational': 1, 'Participation matters': 3, 'Respected': 3, ""Skip class? You won't pass."": 1, 'Tough grader': 1, 'Would take again': 2}",3.5,91,2.5
Betsy Bauman-Martin,Humanities,UC Irvine,{},4.3,N/,3.2
Celina Hernandez-Garcia,Languages,UC Irvine,"{'Get ready to read': 2, 'Lots of homework': 1, 'Participation matters': 2, 'Respected': 1, 'Tests are tough': 1, 'Tough grader': 1}",2.6,100,4.3
Roger McWilliams,Physics & Astronomy,UC Irvine,"{'Amazing lectures': 1, 'Lecture heavy': 1, 'Participation matters': 1, 'Respected': 2, ""Skip class? You won't pass."": 2, 'Tests? Not many': 1, 'Tough grader': 1}",2.8,100,4
Vivian R. Folkenflik,Humanities,UC Irvine,{},4.1,N/,2.7
Patricia Schneider-Zioga,Languages,UC Irvine,{},4.1,N/,2.3
Tira Palmquist,English,UC Irvine,{},3.9,N/,3.5
Patricia L. Hartz,Humanities,UC Irvine,{},4.4,N/,2.6
Patrick M. Morgan,Political Science,UC Irvine,"{'Get ready to read': 2, 'Hilarious': 2, 'LOTS OF HOMEWORK': 1, 'Lots of homework': 1}",3.8,100,3.6
Paul Evan Beilstein,English,UC Irvine,{},4.3,N/,2.2
Bonnie D. Kent,Philosophy,UC Irvine,"{'GRADED BY FEW THINGS': 1, 'Get ready to read': 3, 'Gives good feedback': 2, 'Graded by few things': 2, 'Lecture heavy': 1, ""Skip class? You won't pass."": 2, 'Tough grader': 2}",3.8,50,3.5
Elizabeth Ann Wiatr,Humanities,UC Irvine,{},2.9,N/,4
