name,department,school,take_again,difficulty,avg_gpa,Clear grading criteria,Respected,Get ready to read,Skip class? You won't pass.,Tough grader,Accessible outside class,Graded by few things,Lecture heavy,Test heavy,Inspirational,Amazing lectures,Caring,Gives good feedback,Participation matters,Hilarious,Lots of homework,rating,score,total_tags
"CRUZ, C.",English As A Second Language,UC Irvine,100,1.0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.9949565,0
"ULIBARRI, N.",Urban Planning,UC Irvine,100,2.0,3.6,9,0,0,0,0,0,5,0,0,0,0,5,0,7,0,0,5.0,4.9942517,26
"TREND, D.",Fine Arts,UC Irvine,100,1.5,3.895,10,11,0,0,0,4,7,0,0,0,4,13,0,0,0,0,5.0,4.9938245,49
"MCEWAN, S.",Psychology,UC Irvine,100,3.0,3.4912499999999995,0,12,0,0,0,3,0,0,0,4,0,3,0,0,0,0,5.0,4.993392,22
"GOEBEL, J.",Writing,UC Irvine,100,2.0,3.503333333333334,0,0,0,0,0,3,0,0,0,0,0,4,5,0,0,0,4.9,4.993002,12
"ARASASINGHAM, R.",Chemistry,UC Irvine,85,5.0,2.6475,0,0,0,0,9,0,0,8,7,0,0,0,0,4,0,0,5.0,4.991959,28
"GATLIN, B.",Education,UC Irvine,100,1.9,3.791,3,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5.0,4.9915504,13
"BALDWIN, M.",Computer Science,UC Irvine,100,3.4,3.511538461538461,0,4,0,0,0,9,5,0,0,0,3,8,5,0,6,0,5.0,4.989944,40
"AHMADKHANI, M.",Writing,UC Irvine,100,2.0,3.775555555555555,0,0,0,0,0,3,4,0,0,0,0,3,3,0,0,0,5.0,4.9888926,13
"LI, T.",Korean,UC Irvine,100,1.0,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.986826,0
"GABBERT, M.",Writing,UC Irvine,100,2.3,3.915000000000001,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5.0,4.9861155,4
"HUBER, K.",Mathematics,UC Irvine,65,4.5,2.287619047619048,3,0,0,0,5,0,11,5,10,0,0,0,0,0,6,0,5.0,4.984371,40
